,mean_focal,mean_focal_rank,min_focal,min_focal_rank,max_focal,max_focal_rank,median_focal,median_focal_rank,htd
Inclusion in Decision Making,0.6767851486802101,0.75,0.46618691086769104,0,0.8033653497695923,1,0.7187941670417786,1.0,0.14188285544514656
Integration of Differences,0.47595909237861633,1.8333333333333333,0.3652098476886749,1,0.5540874004364014,2,0.47811436653137207,2.0,0.12366224204500516
Interactional Justice Clarity,0.39076494574546816,2.0,0.326321542263031,2,0.4757820665836334,2,0.36757510900497437,2.0,0.19293911149725318
Interest/Enjoyment Sales Self-Efficacy,0.3377499282360077,1.2,0.2149558663368225,1,0.5383850336074829,2,0.3197982609272003,1.0,0.18042271630838513
International Employee Identity,0.4973962977528572,1.75,0.3836255371570587,1,0.7038151621818542,2,0.45107224583625793,2.0,0.17005504108965397
Interpersonal Fairness Monitoring,0.6923677623271942,1.8333333333333333,0.617317795753479,1,0.75489741563797,2,0.7000202536582947,2.0,0.38050323352217674
Intraorganizational employee navigation,0.3590938329696655,0.4,0.27177104353904724,0,0.48173844814300537,2,0.3811642527580261,0.0,-0.12890890538692473
Intrinsic Career Goal,0.6749570965766907,2.0,0.6410847902297974,2,0.7769997119903564,2,0.6516798734664917,2.0,0.17076890170574188
Knowledge Stock,0.37720286250114443,1.0,0.3228568434715271,1,0.46676385402679443,1,0.3405328094959259,1.0,0.03453471660614014
Loss Orientation,0.5051854203144709,1.0,0.43279463052749634,1,0.6393848657608032,1,0.4858776181936264,1.0,0.30374768593659
Moral Credits,0.5926975250244141,1.6,0.554341733455658,1,0.6227296590805054,2,0.6024761199951172,2.0,0.162104269862175
Moral Identification,0.4976121783256531,1.4,0.3838459253311157,1,0.5503062605857849,2,0.5090422630310059,1.0,0.035949647426605225
Naiveté,0.24435408599674702,1.0,0.0808640792965889,1,0.34690332412719727,1,0.27482447028160095,1.0,0.18327023345045745
Organizational Support for Development,0.5684533764918646,1.5,0.4779231548309326,1,0.6543799638748169,2,0.5669625699520111,1.5,0.26850825796524685
Oscillation Orientation,0.3632600009441376,1.0,0.2743501663208008,1,0.47712090611457825,1,0.3383089303970337,1.0,0.08943422883749008
Other Focus Credits,0.5821487456560135,1.0,0.43268170952796936,1,0.9002130031585693,1,0.49785013496875763,1.0,0.1295543983578682
Perceived Career Opportunity,0.666827380657196,1.0,0.6286431550979614,1,0.6926959156990051,1,0.6791430711746216,1.0,0.2320193499326706
Performance Monitoring,0.5069272369146347,2.0,0.44416043162345886,2,0.61415696144104,2,0.48469577729701996,2.0,0.1724186297506094
Personal Life Motives,0.7433391809463501,1.5,0.6195236444473267,1,0.8117028474807739,2,0.7710651159286499,1.5,0.2815544791519642
Personal Recognition by Supervisor,0.6194160580635071,1.0,0.5557451248168945,1,0.6919201612472534,1,0.6149994730949402,1.0,0.22748282738029957
Personal to Family Conflict,0.7361900210380554,1.0,0.6208153367042542,1,0.8090648651123047,1,0.7526004314422607,1.0,0.20791807770729065
Personal to Work Conflict,0.7057246088981628,2.0,0.658132016658783,2,0.8005410432815552,2,0.6842111349105835,2.0,0.2561255991458893
Planning,0.5224880377451578,1.6666666666666667,0.48154664039611816,1,0.5851817727088928,2,0.5007357001304626,2.0,0.12374484290679295
Procedural Fairness Monitoring,0.7325969934463501,2.0,0.6613839864730835,2,0.7832077741622925,2,0.7581993341445923,2.0,0.34273265600204467
Procedural Justice Clarity,0.6254885792732239,2.0,0.5537031292915344,2,0.6835644245147705,2,0.6207688450813293,2.0,0.3712033374855916
Productivity Motives,0.8498440186182658,2.0,0.8112958669662476,2,0.9207649230957031,2,0.8174712657928467,2.0,0.38648170232772827
Prohibitive Voice,0.5508635103702545,1.4,0.4733838438987732,1,0.640470027923584,2,0.5582687854766846,1.0,0.13830174505710602
Promotive Voice,0.5650235056877136,1.8,0.48054879903793335,1,0.6374506950378418,2,0.5821610689163208,2.0,0.16142381429672242
Propensity to Morally Disengage,0.38920770213007927,1.375,0.15457844734191895,0,0.5718339681625366,2,0.3668457269668579,2.0,0.031905981712043285
Reflecting,0.5325828890005747,2.0,0.4839010536670685,2,0.5878804922103882,2,0.5259671211242676,2.0,0.1359615077575048
Relational Energy,0.2432691976428032,0.0,0.048721425235271454,0,0.32090193033218384,0,0.27993398904800415,0.0,-0.15778187066316604
Reputation Maintenance Concerns,0.5284804031252861,1.75,0.4334324300289154,1,0.5894460678100586,2,0.5455215573310852,2.0,0.2086837738752365
