validity_metric,nlp_metric,r,p,model
alpha,std,0.07482960201257209,0.43295903443216754,word_glove_cosine
alpha,min,-0.054170606867130044,0.5705285864241574,word_glove_cosine
alpha,max,0.16181788656119236,0.08827632233780645,word_glove_cosine
psa,mean,-0.03401491113819951,0.7218071414348748,word_glove_cosine
psa,median,-0.022834486043523738,0.8111229367514573,word_glove_cosine
psa,std,-0.008913753093440058,0.9256828234227223,word_glove_cosine
psa,min,-0.03349180159781502,0.7259139818534643,word_glove_cosine
psa,max,-0.0705610815797269,0.4597290276164494,word_glove_cosine
csv,mean,-0.035612886866948565,0.7093110530570274,word_glove_cosine
csv,median,-0.024045049884087316,0.8013112011928178,word_glove_cosine
csv,std,-0.007324509534262023,0.9389045732566652,word_glove_cosine
csv,min,-0.035964210506768554,0.7065738965754823,word_glove_cosine
csv,max,-0.07147572283428803,0.45391713220630336,word_glove_cosine
htc,mean,0.026423265628535655,0.7821266224257233,word_glove_cosine
htc,median,0.00306953191943838,0.9743759431847762,word_glove_cosine
htc,std,-0.14512681976991343,0.12682501464288706,word_glove_cosine
htc,min,0.08805466152412787,0.3558907012862239,word_glove_cosine
htc,max,-0.11693229185454981,0.21951105194161807,word_glove_cosine
htd,mean,0.01444103084639626,0.8798787954197324,word_glove_cosine
htd,median,0.03837241854174357,0.6879138431519557,word_glove_cosine
htd,std,0.015483161838518344,0.8712823483822326,word_glove_cosine
htd,min,-0.029800929797113476,0.755105444519516,word_glove_cosine
htd,max,0.04447300748714121,0.6414957532437858,word_glove_cosine
alpha,mean,-0.058033475675900996,0.5433260097722816,word_glove_wmd
alpha,median,-0.03772675134833021,0.6928990115246954,word_glove_wmd
alpha,std,0.1956524377502324,0.03869767059113749,word_glove_wmd
alpha,min,-0.21954979494377339,0.020024704473669577,word_glove_wmd
alpha,max,0.020708075660390915,0.828427852987489,word_glove_wmd
psa,mean,-0.10966168880895752,0.24972984635135917,word_glove_wmd
psa,median,-0.1194150856161387,0.2098108332705659,word_glove_wmd
psa,std,-0.08985665192925506,0.3460938780343187,word_glove_wmd
psa,min,-0.061779129171901086,0.5175719783353757,word_glove_wmd
psa,max,-0.11042482394007411,0.24642975142046655,word_glove_wmd
csv,mean,-0.10941416109722442,0.25080676402990026,word_glove_wmd
csv,median,-0.11968948291157983,0.20875785679388845,word_glove_wmd
csv,std,-0.09480293970697495,0.3200836057514889,word_glove_wmd
csv,min,-0.059168637578317876,0.5354549866263713,word_glove_wmd
csv,max,-0.11034431767412876,0.24677646290236877,word_glove_wmd
htc,mean,-0.11354403445635394,0.23325500606823737,word_glove_wmd
htc,median,-0.12826460920995947,0.17773201995148338,word_glove_wmd
htc,std,-0.09740632515825336,0.30691386918986036,word_glove_wmd
htc,min,-0.009481300273514279,0.9209658139844529,word_glove_wmd
htc,max,-0.12752226611724787,0.1802758412702316,word_glove_wmd
htd,mean,-0.09881268686547429,0.2999489287651464,word_glove_wmd
htd,median,-0.12132399500789284,0.20256376121108252,word_glove_wmd
htd,std,-0.07084656301218532,0.457910598449934,word_glove_wmd
htd,min,-0.06840755145558094,0.4735740691763242,word_glove_wmd
htd,max,-0.06929314039429921,0.4678534138903004,word_glove_wmd
alpha,mean,0.02295013769498552,0.8101842778095091,word_w2v_cosine
alpha,median,0.022203999169327263,0.8162448101667588,word_w2v_cosine
alpha,std,0.08054410794707809,0.39855270663675113,word_w2v_cosine
alpha,min,-0.04820065642631728,0.6137845347743758,word_w2v_cosine
alpha,max,0.14659236109375168,0.12299386263641889,word_w2v_cosine
psa,mean,0.06678879574094901,0.4841281081504236,word_w2v_cosine
psa,median,0.07697699713279964,0.4198354208566677,word_w2v_cosine
psa,std,-0.13247096162242164,0.16381406399633194,word_w2v_cosine
psa,min,0.09249316554702788,0.33206862906211954,word_w2v_cosine
psa,max,0.009444172005262916,0.9212743131678492,word_w2v_cosine
csv,mean,0.06674578089510519,0.4844102636271944,word_w2v_cosine
csv,median,0.07683037572266996,0.42072408220911933,word_w2v_cosine
csv,std,-0.13279926812449275,0.16276285424068465,word_w2v_cosine
csv,min,0.09213623822280725,0.33394585043500846,word_w2v_cosine
csv,max,0.010444454295249386,0.9129671876806112,word_w2v_cosine
htc,mean,0.0650571865980231,0.4955557272632119,word_w2v_cosine
htc,median,0.05330012703205812,0.5767457456629264,word_w2v_cosine
htc,std,-0.1541047301461971,0.10473878557425652,word_w2v_cosine
htc,min,0.1426909345529951,0.13339459761483508,word_w2v_cosine
htc,max,-0.08357217204399393,0.38099931548718735,word_w2v_cosine
htd,mean,0.07046446296443915,0.46034536042385077,word_w2v_cosine
htd,median,0.09599501007920744,0.3140087060219929,word_w2v_cosine
htd,std,-0.047015099481291206,0.6225415360685179,word_w2v_cosine
htd,min,0.051105156519159256,0.5925609563181139,word_w2v_cosine
htd,max,0.0855505023679565,0.3697882136159585,word_w2v_cosine
alpha,mean,-0.0695407510323979,0.46626070097698846,word_w2v_wmd
alpha,median,-0.060142116333250256,0.5287504917541722,word_w2v_wmd
alpha,std,0.1916536009588673,0.04293691237408557,word_w2v_wmd
alpha,min,-0.22072957967032722,0.019350969833666607,word_w2v_wmd
alpha,max,0.013086934748899881,0.89106936109884,word_w2v_wmd
psa,mean,-0.13692968368852157,0.14996327199783363,word_w2v_wmd
psa,median,-0.14848121310702855,0.11818835552340026,word_w2v_wmd
psa,std,-0.08756152152262593,0.35860150803752877,word_w2v_wmd
psa,min,-0.089307564784057,0.3490609694287217,word_w2v_wmd
psa,max,-0.14454615718642333,0.12836804980804536,word_w2v_wmd
csv,mean,-0.1367407491017091,0.1505317156717122,word_w2v_wmd
csv,median,-0.14875718717566255,0.11749857053367077,word_w2v_wmd
csv,std,-0.09243871417548821,0.33235457472474667,word_w2v_wmd
csv,min,-0.08703776612908862,0.3614945913785576,word_w2v_wmd
csv,max,-0.14484024087962674,0.1275847715837781,word_w2v_wmd
htc,mean,-0.14845923859601284,0.11824341420935448,word_w2v_wmd
htc,median,-0.16077136800721564,0.09038106887407513,word_w2v_wmd
htc,std,-0.061996993352852275,0.516093418785133,word_w2v_wmd
htc,min,-0.03832015899553207,0.688316843175248,word_w2v_wmd
htc,max,-0.15982259874201035,0.09232345946865425,word_w2v_wmd
htd,mean,-0.09496761758236223,0.31923990998212765,word_w2v_wmd
htd,median,-0.11308164625265447,0.23517627743430602,word_w2v_wmd
