,mean_focal,min_focal,max_focal,median_focal
Formalization climate,0.7124531865119934,0.7124531865119934,0.7124531865119934,0.7124531865119934
Goal focused leadership,0.7484195828437805,0.7484195828437805,0.7484195828437805,0.7484195828437805
Informational justice,0.6819537878036499,0.6819537878036499,0.6819537878036499,0.6819537878036499
Innovation climate,0.7916311621665955,0.7916311621665955,0.7916311621665955,0.7916311621665955
Interpersonal justice,0.7887905240058899,0.7887905240058899,0.7887905240058899,0.7887905240058899
Intrinsic motivation,0.7277862429618835,0.7277862429618835,0.7277862429618835,0.7277862429618835
Intuitive decision-making style,0.8506113290786743,0.8506113290786743,0.8506113290786743,0.8506113290786743
Job insecurity,0.6327453851699829,0.6327453851699829,0.6327453851699829,0.6327453851699829
Job self-efficacy,0.7876125574111938,0.7876125574111938,0.7876125574111938,0.7876125574111938
Leader avoidant conflict behaviors,0.6856303215026855,0.6856303215026855,0.6856303215026855,0.6856303215026855
Leader collaborative conflict behaviors,0.8011468648910522,0.8011468648910522,0.8011468648910522,0.8011468648910522
Leader dominating conflict behaviors,0.7342435121536255,0.7342435121536255,0.7342435121536255,0.7342435121536255
Leadership self-identity,0.4897713363170624,0.4897713363170624,0.4897713363170624,0.4897713363170624
Learning goal orientation,0.8314608931541443,0.8314608931541443,0.8314608931541443,0.8314608931541443
Loneliness,0.6605820655822754,0.6605820655822754,0.6605820655822754,0.6605820655822754
Managerial responsibility stress,0.7784360647201538,0.7784360647201538,0.7784360647201538,0.7784360647201538
Meaning,0.5833521485328674,0.5833521485328674,0.5833521485328674,0.5833521485328674
Meeting effectiveness,0.7117900252342224,0.7117900252342224,0.7117900252342224,0.7117900252342224
Mental fatigue,0.9006823897361755,0.9006823897361755,0.9006823897361755,0.9006823897361755
Needs-supplies job fit,0.6929851770401001,0.6929851770401001,0.6929851770401001,0.6929851770401001
Negative effort-reward imbalance,0.5009759068489075,0.5009759068489075,0.5009759068489075,0.5009759068489075
Normative commitment,0.6506131887435913,0.6506131887435913,0.6506131887435913,0.6506131887435913
Organizational politics,0.647100567817688,0.647100567817688,0.647100567817688,0.647100567817688
Organizational reputation,0.680350661277771,0.680350661277771,0.680350661277771,0.680350661277771
Ostracism,0.7403286695480347,0.7403286695480347,0.7403286695480347,0.7403286695480347
Perceived Leader effectiveness,0.6467462778091431,0.6467462778091431,0.6467462778091431,0.6467462778091431
Perceived contract breach,0.570306658744812,0.570306658744812,0.570306658744812,0.570306658744812
Perceived organizational support,0.6091921329498291,0.6091921329498291,0.6091921329498291,0.6091921329498291
Perceived overqualification,0.5460126399993896,0.5460126399993896,0.5460126399993896,0.5460126399993896
Performance goal orientation,0.6266717910766602,0.6266717910766602,0.6266717910766602,0.6266717910766602
Person-organization fit,0.5636566877365112,0.5636566877365112,0.5636566877365112,0.5636566877365112
Perspective-taking,0.7526789903640747,0.7526789903640747,0.7526789903640747,0.7526789903640747
Pessimism of organizational change,0.7579819560050964,0.7579819560050964,0.7579819560050964,0.7579819560050964
Physical fatigue,0.9026601314544678,0.9026601314544678,0.9026601314544678,0.9026601314544678
Preference for group work,0.7370294332504272,0.7370294332504272,0.7370294332504272,0.7370294332504272
Procedural justice,0.8079168796539307,0.8079168796539307,0.8079168796539307,0.8079168796539307
Prosocial identity,0.5693966150283813,0.5693966150283813,0.5693966150283813,0.5693966150283813
Prosocial motivation,0.7991651296615601,0.7991651296615601,0.7991651296615601,0.7991651296615601
Quality of group experience,0.6741923093795776,0.6741923093795776,0.6741923093795776,0.6741923093795776
Quantitative workload,0.5356548428535461,0.5356548428535461,0.5356548428535461,0.5356548428535461
Rational decision-making style,0.8291676640510559,0.8291676640510559,0.8291676640510559,0.8291676640510559
Relationship conflict,0.8156920671463013,0.8156920671463013,0.8156920671463013,0.8156920671463013
Resources,0.6684180498123169,0.6684180498123169,0.6684180498123169,0.6684180498123169
Role conflict,0.7354556918144226,0.7354556918144226,0.7354556918144226,0.7354556918144226
Rumination (negative),0.6098549365997314,0.6098549365997314,0.6098549365997314,0.6098549365997314
